,MOLM-13_DMSO_rep-1_exp-2,MOLM-13_DMSO_rep-2_exp-2,MOLM-13_DMSO_rep-3_exp-2,MOLM-13_JQ1_rep-1_exp-2,MOLM-13_JQ1_rep-2_exp-2,MOLM-13_JQ1_rep-3_exp-2,MOLM-13_6nM_NVP-2_rep-1_exp-2,MOLM-13_6nM_NVP-2_rep-2_exp-2,MOLM-13_6nM_NVP-2_rep-3_exp-2,MOLM-13_60nM_NVP-2_rep-1_exp-2,MOLM-13_60nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-1_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-3_exp-2
DEGS1,4,8,0,12,4,7,3,2,3,0,0,0,0,0
DENR,18,8,12,23,1,4,4,14,8,0,0,4,1,0
THOC5,6,6,9,4,0,3,0,4,28,0,0,4,0,1
YARS1,41,17,24,17,3,7,7,18,15,1,1,6,3,4
PDXK,19,14,26,47,14,34,11,0,40,10,9,26,7,8
MADD,39,12,24,50,25,37,14,8,25,14,12,10,3,24
RRP1,8,9,4,3,2,0,0,0,0,0,0,0,2,0
MKNK1,3,10,14,17,9,7,1,0,17,2,1,9,0,0
KHSRP,566,384,388,535,270,462,388,320,619,51,57,401,252,183
CASK,0,0,0,0,1,2,0,0,0,0,0,0,0,0
AKR7A2,10,12,6,8,13,22,6,4,11,0,4,2,2,0
PRKRA,11,16,16,18,8,8,7,16,10,0,0,0,4,1
STK16,37,42,15,27,22,15,16,16,1,0,0,6,1,0
SCARF1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NOP14,71,49,58,20,16,40,25,45,50,14,3,18,13,1
FAM193A,15,24,8,25,14,28,4,2,8,1,0,10,1,8
SLC25A12,5,14,5,0,1,1,9,0,11,0,1,0,3,0
PLA2G4C,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RUVBL1,22,6,11,18,17,12,5,2,25,0,5,0,5,0
KLF7,39,15,19,9,23,15,8,8,15,1,8,3,14,14
PLPP1,3,0,1,0,0,0,11,0,0,0,0,0,0,0
STC2,0,1,9,1,0,0,8,6,14,0,0,0,0,0
USO1,2,1,3,7,0,1,0,0,5,0,1,0,0,0
NPFF,6,0,1,7,3,0,0,1,2,3,1,8,3,0
CDK13,9,14,13,10,7,11,1,22,9,0,5,2,17,2
ASMTL,3,0,2,7,3,5,0,0,4,0,0,0,0,0
PSMG1,30,19,17,18,6,20,5,12,8,0,0,0,1,0
RFXANK,0,4,8,1,2,0,3,2,5,0,0,0,0,0
JRK,49,48,37,32,28,44,26,33,47,6,7,6,9,17
UNC5C,0,6,0,0,0,0,0,0,0,0,0,0,4,0
RTCA,30,7,7,4,0,22,7,6,18,0,0,0,0,0
RNASET2,20,9,5,5,4,5,0,10,4,1,0,0,8,0
SSNA1,3,5,6,1,2,3,3,4,0,0,0,0,0,0
EIF4EBP3,2,11,1,11,6,3,1,0,2,2,0,0,0,0
OASL,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PCDHGB4,8,7,3,1,5,6,0,0,0,1,0,0,0,0
PTCH2,0,0,1,9,0,4,0,0,23,0,1,17,5,3
KCNK5,28,12,14,27,5,7,0,20,18,0,0,0,0,0
NCOA1,0,0,0,0,2,2,0,0,0,0,3,1,2,0
LAMTOR3,6,3,8,0,4,13,4,0,1,0,0,1,4,0
NUMB,20,16,6,13,5,24,2,0,12,1,0,18,10,4
SOCS1,208,60,118,88,40,130,33,12,86,2,3,10,13,5
DDX3Y,70,57,86,37,26,53,20,19,36,2,2,6,20,7
DYNLL1,71,64,55,163,129,198,29,22,63,3,1,33,48,9
TNKS,19,6,12,26,26,31,9,11,13,13,27,32,27,15
ALDH4A1,8,10,10,7,9,8,7,8,6,7,1,4,5,0
IRS2,721,414,389,492,247,378,259,165,495,138,154,85,67,32
EIF3A,137,114,59,135,68,58,89,35,158,51,68,120,45,54
EIF3B,61,30,34,36,12,25,36,61,8,2,0,30,18,6
EIF3C,7,8,0,1,3,3,1,0,3,0,1,0,0,5
EIF3D,131,163,135,142,70,126,148,103,169,29,35,92,92,54
EIF3F,28,19,13,20,5,29,13,19,20,2,5,20,24,2
EIF3G,12,13,16,25,5,15,6,10,4,3,0,22,1,4
EIF3H,61,37,45,79,24,87,59,22,17,13,12,22,33,9
EIF3I,2,7,7,10,1,10,4,14,9,0,0,3,8,0
EIF3J,26,17,15,26,39,22,8,3,11,1,0,4,2,15
EIF4G3,47,25,48,35,28,29,15,2,58,10,25,27,30,16
VAMP8,122,120,55,53,16,51,94,46,68,1,2,5,4,9
VAMP4,10,4,8,3,2,0,0,3,1,0,0,1,0,0
STX16,19,11,23,23,5,15,11,9,16,15,9,6,8,16
STX11,8,2,5,2,0,4,0,0,0,0,0,0,0,0
STX10,6,1,4,10,4,3,6,6,4,0,0,6,0,0
BECN1,68,42,56,44,34,54,32,21,40,0,6,6,3,2
JMJD7-PLA2G4B,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PEA15,27,17,30,4,2,8,3,0,5,0,4,2,4,3
SRSF9,47,37,29,17,8,27,12,30,23,3,9,18,0,6
JRKL,6,1,0,3,1,2,0,0,3,0,0,0,0,1
HYAL2,10,4,7,4,1,9,0,7,0,0,0,3,0,1
GALNT4,7,9,25,8,0,4,0,6,31,0,0,0,0,0
DGAT1,0,0,2,7,24,17,0,15,4,0,8,14,5,0
CDC23,20,10,18,18,13,22,30,7,16,3,0,23,9,0
S1PR4,30,36,29,36,25,41,5,10,6,0,0,1,4,3
B4GALT4,14,2,3,7,4,6,0,3,0,1,0,0,0,1
B4GALT3,7,7,10,25,13,16,30,31,15,0,0,9,12,6
B4GALT2,22,29,30,7,2,15,17,16,8,0,9,13,14,5
B3GALT4,0,0,0,0,0,0,3,0,0,0,0,0,0,0
TRADD,3,0,0,0,2,5,0,6,9,0,0,0,0,1
MBTPS1,11,3,5,0,6,8,0,14,17,0,1,13,2,0
EDF1,12,9,8,2,9,11,8,0,5,0,0,0,0,0
SNX4,16,17,7,14,7,5,5,5,0,8,8,11,3,0
SNX3,4,2,1,1,2,14,0,2,0,6,0,0,0,0
URI1,6,5,2,5,11,13,0,0,8,0,0,0,0,0
EED,21,11,7,18,10,13,10,4,28,0,0,2,3,0
CTNNAL1,6,7,1,0,2,9,4,0,0,1,0,0,0,0
GBF1,17,19,11,37,11,27,23,11,19,11,0,14,27,18
RNMT,52,64,76,57,45,55,33,28,46,35,5,48,20,8
RNGTT,41,24,27,58,41,25,22,12,88,24,24,59,47,30
GPAA1,9,0,3,3,4,10,5,18,7,4,2,0,6,8
RIPK1,47,1,13,26,18,32,19,3,12,1,6,8,16,5
CRADD,10,1,1,3,0,7,5,7,4,1,0,0,0,0
TNFSF14,2,0,0,0,0,0,0,3,3,0,0,0,2,0
TNFSF13,5,11,0,0,2,3,25,0,2,0,0,0,0,0
TNFSF10,32,22,21,8,12,1,10,10,18,0,0,0,0,1
TNFSF9,51,30,15,53,53,80,8,9,17,1,0,3,5,0
ADAM15,12,3,10,7,3,19,11,1,7,0,0,3,2,5
ADAM9,9,3,0,9,0,7,4,0,7,0,2,6,3,0
CDS2,0,10,1,1,1,1,1,0,0,0,0,0,0,0
PABPC4,114,39,52,158,123,154,26,10,99,0,17,93,60,26
CD164,33,31,17,35,35,27,17,9,15,1,2,14,25,0
TNFRSF14,2,0,2,0,0,1,0,0,0,0,0,0,0,0
RAB11A,16,10,26,17,25,27,9,4,20,1,0,3,7,3
RIPK2,14,11,2,2,8,13,12,5,8,0,0,0,0,0
TNFRSF6B,7,3,0,4,1,0,0,2,3,5,0,6,3,0
FADD,51,18,44,49,25,43,9,6,10,0,0,8,2,1
SNAP23,0,0,0,0,3,9,0,0,0,0,0,3,0,0
NAPG,12,9,11,10,5,6,4,5,9,0,0,0,4,0
NAPA,0,4,0,6,2,0,0,0,0,0,0,2,1,0
MTMR1,3,7,0,0,0,0,0,1,1,0,0,0,0,0
RIOK3,8,20,10,15,8,24,3,4,25,2,1,8,2,3
MATN4,9,14,9,2,0,5,0,5,9,0,0,0,0,3
FPGT,12,8,5,1,3,8,5,8,5,1,0,2,0,0
TNFRSF10D,97,43,36,157,56,94,39,11,79,19,7,25,20,13
TNFRSF10B,39,29,19,35,28,23,17,19,37,4,3,19,12,11
TNFRSF10A,2,1,0,0,0,0,4,0,0,0,0,0,0,0
DYRK4,4,3,5,7,4,2,4,0,0,0,0,0,0,0
PEX11B,10,5,2,13,1,17,0,0,15,0,0,0,0,1
PEX11A,2,5,7,0,0,2,5,1,5,0,0,0,0,0
SUCLG2,24,33,18,46,29,38,21,18,35,14,10,18,48,15
SUCLG1,25,6,2,29,5,5,10,5,2,0,0,0,7,1
SUCLA2,14,2,0,0,9,0,5,0,0,0,0,0,0,0
CREG1,23,3,5,7,3,0,3,0,0,0,7,0,0,0
TRIM24,40,41,20,42,15,38,8,14,31,11,19,17,3,13
CCNK,27,6,23,45,32,32,25,6,29,5,7,19,40,17
DPM1,21,19,12,25,7,27,27,9,21,1,7,12,7,0
CDKL1,6,0,0,0,0,0,0,8,0,0,0,0,0,0
BANF1,13,6,6,3,7,11,23,16,5,0,5,8,3,0
DCAF5,16,17,17,6,19,7,6,2,12,6,2,5,0,0
DPM2,4,2,0,0,0,0,0,0,0,0,0,0,0,0
SAP30,5,5,5,1,2,10,0,0,3,0,0,0,0,0
CES2,4,11,6,28,5,23,3,4,11,0,2,9,5,0
LIN7A,5,4,0,3,0,0,0,0,0,0,1,0,0,0
IQGAP1,31,53,15,19,22,25,13,8,41,8,5,16,11,3
NRP1,0,1,0,2,0,0,0,0,0,0,0,0,0,1
SYNGAP1,0,0,4,0,0,0,0,0,0,0,0,3,0,1
CD84,31,39,10,4,0,8,3,0,11,6,3,0,0,0
GMPS,3,0,0,3,0,2,1,0,3,0,0,0,0,0
TMEM11,207,174,118,233,130,206,128,121,188,9,25,107,86,62
SOCS2,111,83,55,112,56,95,56,5,96,3,14,23,42,19
GGH,12,7,6,16,8,27,11,1,13,0,0,0,1,0
CFLAR,110,123,87,68,49,75,89,89,123,16,23,21,44,19
HDAC3,47,47,56,87,49,101,46,23,47,0,12,25,46,19
KSR1,0,0,0,2,0,0,0,0,0,0,0,0,2,0
ALKBH1,3,0,5,0,5,3,3,1,6,5,2,2,4,0
DLEU2,48,53,34,16,15,42,35,3,51,13,19,53,18,19
TSC22D1,9,8,2,0,4,8,0,7,0,0,0,0,0,0
KAT2B,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CDK5R1,27,23,35,34,28,17,14,5,22,0,0,10,21,7
STK19,46,42,19,31,3,26,33,11,48,5,3,10,14,8
LDB1,4,1,0,10,0,1,0,0,6,0,0,0,0,0
PER3,8,4,0,0,0,0,0,0,9,0,0,5,2,0
PER2,7,9,8,14,6,5,13,6,2,2,0,6,2,0
SYNJ1,0,3,2,4,4,6,0,0,0,0,0,0,0,0
IER3,318,421,257,736,289,744,176,165,216,14,14,78,89,78
SYNJ2,108,85,57,21,12,19,24,23,55,5,2,2,0,1
CDC123,82,52,37,54,61,37,16,12,37,34,15,39,19,17
ARHGEF7,15,20,13,21,11,12,9,6,7,7,3,16,5,1
SPHK1,0,5,2,0,7,1,0,1,3,0,0,0,0,0
SQSTM1,19,35,29,55,49,43,5,3,39,2,3,15,0,12
SGPL1,8,1,2,2,1,3,0,1,5,1,3,2,0,0
FUBP1,116,82,43,28,29,26,61,15,17,2,1,32,31,3
CDC16,14,12,15,8,10,14,9,4,6,2,0,2,5,7
ZPR1,16,18,5,8,3,11,7,1,4,0,0,0,8,0
NAE1,24,18,27,26,6,30,29,23,22,5,18,13,8,9
SLC5A6,32,40,36,24,19,22,21,42,68,0,3,13,4,0
DDX18,8,37,37,18,23,16,15,0,12,0,6,1,3,10
TAX1BP1,57,77,38,38,17,42,39,14,44,31,16,32,11,25
MCM3AP,34,41,14,34,39,56,34,23,47,6,18,30,25,21
EIF2B4,0,0,0,6,0,0,0,0,1,0,0,0,0,0
EIF2B3,1,7,0,3,10,2,7,0,16,3,0,3,0,1
EIF2B2,10,3,1,5,9,2,4,0,5,0,0,4,0,0
EIF2B5,35,32,22,42,47,26,22,25,70,0,1,24,14,12
EIF2S2,381,290,270,282,131,176,137,136,165,10,15,73,80,55
CPNE3,11,5,7,12,7,5,0,0,0,0,0,0,0,5
BUD31,28,42,19,32,19,44,17,6,25,0,0,24,3,6
MTMR3,5,3,10,0,5,4,4,4,2,3,2,1,1,2
MTMR2,12,6,4,0,1,1,22,0,3,0,2,1,0,0
PRPF4B,77,35,42,41,25,46,18,30,62,16,4,38,29,14
CCNA1,6,8,11,5,8,3,0,2,0,0,4,0,0,0
CPNE1,14,4,4,44,8,16,4,0,0,3,8,0,1,0
AP1S2,5,2,9,10,1,8,6,0,0,0,0,0,0,0
AP1G2,0,0,1,0,0,0,0,0,8,0,0,0,0,0
AP1M1,13,13,9,7,9,4,10,0,4,0,4,0,1,0
TIMELESS,4,14,21,23,3,22,0,12,10,0,0,5,10,12
BCL10,5,7,10,31,43,19,3,2,12,0,0,0,0,9
HERC3,1,0,1,0,2,3,0,0,0,0,0,0,0,0
HERC2,6,3,11,14,9,13,11,8,19,4,5,18,16,29
HERC1,6,4,0,10,15,11,6,2,5,0,2,7,0,6
SNURF,3,6,0,0,5,2,3,3,2,0,0,0,8,0
FOXH1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
MBD4,44,62,50,36,11,46,17,31,28,1,8,8,3,6
MBD2,10,4,9,7,0,3,4,6,3,0,1,0,1,0
RTL8C,0,5,3,1,0,0,3,0,0,0,0,0,0,0
RAB29,13,9,13,6,1,5,15,2,27,0,0,4,1,2
SKAP2,10,8,7,1,0,11,5,0,9,0,4,12,0,0
WASF1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
FUBP3,32,11,24,41,13,21,17,13,24,10,6,36,31,6
TOP3B,8,0,0,6,2,3,1,0,9,0,0,0,0,0
KYNU,1,5,0,5,2,1,4,0,0,0,0,0,0,0
AP3D1,6,26,13,20,9,9,6,20,20,0,5,4,10,1
BTRC,5,0,0,7,15,6,1,2,7,0,2,0,4,0
H2AC11,0,6,0,2,0,0,0,0,0,0,0,0,0,0
H1-10,78,146,86,278,133,352,64,77,108,0,1,38,67,58
CHRNA6,4,6,1,0,0,0,0,0,0,0,0,0,0,0
USP13,23,18,6,19,4,16,8,5,12,8,6,6,11,4
WASL,13,7,13,8,4,1,0,0,0,0,0,0,0,0
PLOD3,2,0,0,11,2,3,3,0,0,1,5,1,0,0
RPS6KA4,2,2,1,0,3,3,1,0,2,0,3,1,0,0
STBD1,7,1,0,0,0,3,2,0,0,0,0,0,0,0
ATP6V0E1,63,46,28,37,20,50,37,41,44,11,1,21,15,5
LIMD1,6,1,2,5,1,8,0,0,0,2,0,0,2,0
NOL3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TAF1C,10,6,22,6,2,15,13,5,18,0,0,0,2,1
TAF1B,2,0,0,2,3,0,0,0,0,0,0,0,0,0
TAF1A,2,1,6,6,1,5,0,3,0,0,0,14,0,0
SLC25A14,8,1,12,4,2,13,11,4,11,0,0,0,0,1
MPZL1,4,3,6,0,0,0,2,3,3,0,0,3,0,1
MAP3K14,3,0,0,7,10,1,0,0,0,3,0,2,0,0
SOCS3,14,4,11,6,9,32,0,2,3,0,0,0,0,0
RNF8,20,9,10,19,9,15,17,8,12,7,4,6,0,0
HIP1R,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BAZ1B,23,24,13,38,16,53,9,9,34,16,7,18,15,5
CCRL2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
UBA3,26,4,8,14,12,24,2,3,3,0,0,0,4,0
UBE2M,5,3,15,11,2,13,17,5,2,0,0,12,0,1
SPAG9,17,17,11,11,6,18,2,12,12,6,8,9,16,11
BTAF1,3,7,0,3,6,11,0,0,0,0,0,0,0,0
RPL14,29,68,33,20,9,23,25,27,16,0,0,11,8,0
DOK2,48,29,34,11,9,10,20,19,33,0,0,2,2,0
SH2D2A,3,2,6,0,3,1,0,0,0,0,0,0,0,0
ARTN,7,2,3,0,0,3,0,0,3,0,0,0,0,0
AIP,4,3,0,1,0,6,0,0,13,0,0,7,0,0
PSTPIP2,15,2,16,7,2,5,17,6,30,3,23,14,4,6
NFS1,6,6,18,3,15,8,6,3,1,0,0,4,3,4
PRC1,50,16,49,45,20,27,18,23,23,20,3,13,19,9
SLC7A7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC7A6,6,8,6,0,2,5,10,4,0,4,1,0,0,0
PAPSS1,8,13,24,7,4,16,3,15,24,4,6,17,4,0
PIAS2,27,22,9,11,6,7,21,13,16,2,5,2,9,0
CLDN12,22,10,11,11,7,23,13,6,3,0,3,0,5,0
ASH2L,48,34,17,34,34,39,28,5,37,6,9,30,6,7
EIF1AY,5,2,3,21,8,12,5,3,15,0,0,0,3,1
TMSB4Y,1,0,2,0,0,4,1,0,0,0,1,0,0,0
PKMYT1,10,7,3,1,11,7,11,3,20,0,1,0,7,11
SART1,2,4,3,7,2,3,0,0,3,1,0,4,3,0
DNAJA3,25,1,13,27,28,7,3,14,17,0,4,0,8,6
UNC119,32,18,5,55,20,37,15,11,13,0,7,3,2,6
TBX19,7,0,2,1,0,6,1,0,1,0,0,3,0,0
USP14,15,24,10,34,3,15,9,16,21,6,0,12,10,6
USP2,3,3,16,7,2,3,0,0,0,0,2,0,0,0
USP10,31,24,20,37,4,23,7,5,12,10,3,29,15,7
USP8,32,15,11,35,17,30,8,1,22,8,14,6,6,0
MTMR6,51,37,34,36,19,20,53,10,27,5,2,9,25,8
MTMR4,24,9,16,21,12,27,5,10,40,0,1,5,0,0
NMI,11,8,4,7,0,5,10,6,6,0,3,6,0,4
MTA1,57,7,16,44,21,36,8,7,25,9,19,19,22,15
LATS1,48,27,32,20,26,46,19,11,35,0,10,8,6,7
ATP6V0D1,0,7,3,0,5,2,0,3,4,0,0,12,0,0
SEC22C,2,4,0,2,1,7,4,0,11,3,0,0,1,0
SLC16A5,0,0,0,0,0,1,2,0,0,0,0,0,0,0
SLC16A3,37,26,26,62,25,51,15,4,14,1,0,0,0,0
PDLIM1,17,17,12,5,0,8,7,9,10,0,0,0,0,0
CNOT9,20,33,28,14,13,43,10,36,13,0,2,11,5,11
SMC3,31,16,14,16,20,10,9,0,10,0,8,12,0,1
PRPF4,11,24,12,33,10,24,0,8,5,0,2,3,1,7
PRPF3,23,21,4,16,11,25,17,8,27,7,4,22,14,10
FAM50A,3,2,3,0,1,6,13,0,0,0,0,0,3,0
AIFM1,11,6,17,45,7,18,20,10,31,2,0,4,5,6
KCNQ4,0,0,0,0,0,4,2,0,8,0,0,4,0,0
CCNB2,94,59,43,58,74,56,21,38,45,0,0,12,9,15
CCNE2,23,4,7,11,9,11,0,1,2,0,0,1,0,1
RABEP1,12,9,14,9,9,14,0,0,6,1,7,3,5,0
RRP9,0,3,0,3,1,0,4,0,0,0,0,0,0,0
ARHGEF1,0,0,0,0,0,3,1,2,3,0,0,0,0,0
CBFA2T2,0,0,5,3,7,1,0,2,5,4,4,9,4,5
ATG12,57,63,29,61,40,62,32,31,27,0,6,16,10,10
PDCD5,8,19,4,43,20,19,4,0,7,0,0,0,0,0
SYNGR3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SYNGR2,30,18,26,20,15,32,0,11,16,2,0,2,3,5
SYNGR1,6,0,0,2,0,0,0,0,0,0,0,0,0,0
HGS,10,9,7,11,7,14,19,12,0,0,3,2,22,14
NEMF,37,21,15,8,13,18,0,1,25,0,4,6,3,0
DYRK1B,1,0,2,3,0,3,0,0,0,0,0,2,0,1
CTDP1,80,47,61,50,19,62,34,31,52,0,5,19,14,9
SLC28A2,0,0,0,0,0,0,0,4,0,0,0,0,2,0
EXO1,18,16,4,17,1,9,3,0,4,0,6,5,1,0
FIBP,0,4,0,4,3,0,1,0,0,0,0,0,0,0
PCSK7,8,5,5,5,5,0,3,0,10,1,5,14,3,0
EBAG9,34,13,13,16,6,22,2,5,2,0,0,0,1,0
COX7A2L,21,19,2,13,9,6,14,25,25,3,5,11,0,13
TMSB10,28,40,18,40,33,80,21,0,38,0,0,1,5,10
SCAF11,76,82,32,55,25,85,48,22,117,35,38,65,31,11
LPAR2,7,0,7,9,10,6,0,6,4,1,0,4,0,1
MYOM2,1,4,0,0,0,0,0,0,0,0,0,0,4,0
IL1RL1,0,4,0,0,0,0,2,0,5,1,0,0,0,0
AP4M1,0,0,0,0,0,5,3,2,0,0,0,0,0,0
ARHGEF2,68,34,36,67,38,60,11,4,49,1,3,12,10,3
ZW10,53,63,23,37,19,25,26,41,29,15,7,11,8,9
BUB3,142,83,91,66,75,129,61,54,107,1,5,25,33,32
SLC24A1,0,1,0,0,0,0,0,0,0,0,2,0,5,0
DDX21,562,458,404,279,251,244,458,263,569,104,183,246,206,134
ZBED1,81,51,27,24,20,16,24,11,67,3,7,0,0,0
DEDD,16,10,0,10,6,17,5,3,8,0,0,0,0,1
SLC16A7,6,8,14,5,7,16,4,1,0,4,0,4,6,8
KCNAB3,8,1,0,0,0,2,0,0,0,0,0,0,0,1
SLC33A1,13,5,10,22,6,16,1,0,19,3,7,12,12,0
HACD1,5,0,0,0,0,0,0,0,3,0,6,0,0,0
ZMYM4,10,7,9,14,11,17,8,5,37,1,0,11,7,0
ZMYM3,5,7,8,4,10,7,8,10,7,0,3,0,8,0
ZMYM6,0,0,2,0,1,0,0,0,0,0,0,0,0,0
ZMYM5,9,1,21,5,5,8,0,0,6,0,0,0,6,2
LRRFIP1,36,44,9,26,11,16,16,15,35,8,4,3,16,17
LRRFIP2,13,8,2,2,4,1,11,5,12,1,6,3,8,2
AURKB,211,137,149,128,65,109,76,134,211,2,3,47,20,10
XPR1,16,5,0,6,7,5,0,3,5,1,0,0,5,2
FCMR,0,0,2,0,0,0,0,0,3,0,0,0,0,0
VAPB,61,38,17,32,27,21,22,17,32,3,21,31,7,15
VAPA,128,116,109,121,68,87,60,60,127,21,12,50,37,20
MTA2,11,6,13,26,17,15,3,6,9,0,1,22,4,0
TIAF1,13,6,3,14,5,7,11,10,0,2,3,14,3,6
NOLC1,61,31,29,38,40,36,18,3,22,0,3,24,10,8
RAB11B,8,1,6,5,2,2,7,0,18,0,0,0,0,0
DLG5,5,0,0,4,5,12,6,5,0,0,0,0,0,5
PTTG1,60,44,21,71,15,38,30,26,29,0,0,5,20,27
CCPG1,14,4,3,11,0,5,10,0,4,3,0,0,0,0
TBRG4,10,12,6,18,11,22,23,0,15,0,0,0,0,0
PNMA1,9,8,6,10,3,7,3,2,3,0,0,0,0,0
NOG,8,17,6,3,1,2,5,0,0,0,0,0,1,1
UBE2L6,0,3,2,0,0,0,0,0,0,0,0,0,0,1
DHRS3,4,2,5,0,0,0,0,17,0,0,0,0,0,0
RPS6KA5,68,35,37,53,34,61,46,16,70,22,36,72,29,40
NUMBL,18,2,4,4,4,5,0,7,0,0,0,6,0,2
AIMP1,20,18,26,14,10,7,1,3,0,0,4,3,2,0
TSPOAP1,123,72,78,135,53,128,92,82,160,21,47,59,36,37
MFHAS1,82,80,50,54,12,18,40,45,83,40,33,19,15,13
PDLIM7,0,0,0,1,0,2,0,0,0,0,0,0,0,0
MAPKAPK2,149,144,70,159,96,127,117,29,78,5,0,47,27,18
STK17B,69,35,12,41,21,33,16,8,38,2,4,9,9,2
STK17A,8,10,9,29,7,28,4,0,3,1,0,0,2,0
CYTH3,7,22,3,0,2,3,2,18,4,5,2,8,0,0
CYTH2,14,28,1,35,6,30,8,18,21,0,0,0,0,3
CYTH1,13,5,12,15,0,5,13,11,14,10,9,13,17,3
ITGB1BP1,9,3,2,7,1,6,0,6,0,0,0,0,5,0
BCL7C,0,0,4,0,0,0,0,0,0,0,0,0,0,0
BCL7B,29,25,18,15,11,18,6,6,12,4,0,7,10,0
COPB2,30,39,28,26,25,23,6,10,20,0,0,15,0,0
WDR46,15,22,11,28,11,20,17,17,5,0,0,5,2,4
ZBTB22,19,15,12,17,8,22,4,1,11,0,0,10,11,0
MED14,14,5,15,12,5,10,1,5,35,0,10,3,0,1
GPR55,3,3,2,0,0,0,0,0,0,0,0,0,0,0
S1PR2,3,2,1,0,0,3,0,0,3,0,0,0,1,0
SRSF11,86,62,43,99,56,53,33,14,84,15,19,5,21,41
ATP6V1F,17,9,20,9,10,16,0,6,11,0,0,0,0,2
SNORD27,0,0,3,0,0,0,0,0,1,0,0,0,0,0
SNORD26,13,5,1,4,2,2,0,1,1,0,0,1,0,0
SNORD25,3,2,3,7,1,0,0,0,0,0,0,0,0,0
SNORD22,8,7,6,6,2,5,0,0,0,0,0,0,1,8
SOCS6,15,9,4,6,2,4,1,0,6,0,0,0,2,0
CD83,6,3,5,0,3,0,0,0,4,0,0,0,0,0
ZNF235,0,2,0,5,0,0,0,0,0,0,0,0,0,0
ASIC3,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NREP,0,14,6,11,3,3,1,0,0,0,0,0,4,0
PTER,26,31,18,19,40,31,7,9,23,5,14,13,29,4
COPS2,14,23,19,18,2,23,11,7,20,12,6,0,8,4
TRIP13,16,1,2,7,3,0,4,1,6,0,1,0,0,0
TRIP12,86,29,37,44,40,50,33,18,34,23,23,30,35,13
TRIP11,9,3,13,6,5,12,2,0,12,7,10,2,0,0
TRIP10,0,0,0,3,0,5,0,0,0,0,0,0,0,0
HMGN3,35,34,35,56,31,61,45,30,31,14,4,35,9,0
TRIP4,3,6,9,20,4,20,0,4,11,0,6,4,3,0
ZNHIT3,20,17,18,21,13,23,7,0,16,0,0,5,1,10
GTF3C5,18,13,17,23,31,13,24,34,33,2,1,2,8,1
GTF3C4,34,58,27,28,15,37,23,19,53,9,7,25,5,6
GTF3C3,26,34,33,19,16,21,8,8,29,7,4,4,4,6
TGM5,1,11,1,0,0,0,0,0,0,0,0,0,0,0
B4GALT5,310,178,134,66,42,68,174,106,193,99,88,45,42,28
CNOT8,49,16,24,25,24,22,7,9,21,4,6,17,23,14
VAMP3,1,11,1,15,10,14,4,0,3,0,0,4,4,6
SNAP29,11,4,4,3,1,7,13,9,9,1,5,5,0,0
EFTUD2,46,9,18,31,15,18,7,7,5,1,0,13,6,3
TAOK2,4,13,3,17,4,6,0,11,13,0,0,4,3,0
RPL23,230,183,122,244,129,238,113,70,179,7,4,131,100,64
SLC9A3R2,0,0,0,2,1,2,0,0,1,0,0,4,0,0
TXNL1,13,16,22,19,2,1,13,13,31,3,3,0,6,4
UBE4A,25,7,13,17,10,15,4,2,8,4,0,2,4,11
PPIG,37,21,23,24,20,21,15,8,34,12,14,22,32,21
LONP1,18,4,3,11,7,18,5,3,4,3,4,12,17,8
RAB33A,1,2,3,0,0,0,0,0,2,0,0,0,0,0
RAB28,9,3,0,0,0,3,1,2,9,0,0,0,0,0
RAB9A,23,4,4,5,8,10,2,0,6,0,0,6,4,0
SLC9A3R1,3,14,5,16,14,22,0,1,0,1,0,0,0,0
KIF3B,15,15,5,4,10,13,8,3,0,12,11,0,6,0
PLAA,65,52,35,58,14,30,8,20,33,1,0,14,10,3
PPT2,0,2,0,0,0,6,5,0,0,0,0,0,0,0
TM9SF2,39,19,34,14,12,27,8,17,57,4,7,8,13,1
COX5A,37,33,19,26,20,30,7,13,41,6,10,13,9,9
GRHPR,7,14,4,2,9,3,9,1,17,0,0,1,0,0
COG1,1,4,6,4,1,5,7,0,4,0,0,0,1,7
CIAO1,47,16,16,27,8,20,13,5,20,0,0,3,9,4
TGFBRAP1,20,28,34,8,9,13,17,16,16,18,10,7,1,1
HS6ST1,0,5,9,6,3,7,2,0,4,0,0,5,0,1
NMT2,4,0,0,0,0,0,0,2,0,0,0,0,0,0
