,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
AL513534.2,0.16,0.42,0.68,0.6,0.35,0.49,0.61,0.37
AP002761.4,36.32,38.91,29.82,32.06,45.36,37.26,38.05,36.73
AC110079.1,1.77,2.33,1.92,1.8,1.73,1.48,1.88,1.38
AC025279.2,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
AC092127.1,0.04,0.06,0.03,0.03,0.08,0.04,0.07,0.07
LINC02182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
Z97205.2,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0
LINC02367,0.05,0.01,0.04,0.01,0.02,0.0,0.09,0.03
AL031709.1,1.04,0.99,0.85,0.86,0.04,0.0,0.36,0.0
AC008060.4,2.38,3.01,3.11,3.27,2.86,2.66,2.26,2.37
SCX,0.63,0.79,0.78,0.81,0.91,0.86,0.52,0.3
AC099518.1,0.0,0.07,0.0,0.0,0.0,0.12,0.0,0.05
AC093525.3,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
LMF1-AS1,0.16,0.16,0.03,0.07,0.06,0.09,0.13,0.08
ATP2A1-AS1,2.01,2.28,3.41,0.62,1.08,1.44,2.15,2.21
AC009065.3,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
LCMT1-AS1,1.09,2.28,2.57,2.57,1.38,1.46,5.01,2.96
TPRKBP2,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0
AL355607.2,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
NBAT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
C16orf95,1.49,2.17,1.47,1.27,1.74,1.09,2.29,1.31
AL365181.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.04
AL133355.1,0.84,0.99,0.65,1.0,0.63,0.79,0.69,0.74
AL049796.1,0.21,0.27,0.12,0.11,0.13,0.32,0.15,0.12
AC018557.1,2.15,2.78,3.56,5.06,5.23,6.51,5.02,6.34
AC126696.2,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC023794.5,0.14,0.0,0.1,0.08,0.0,0.0,0.04,0.05
AL353719.1,0.0,0.0,0.26,0.09,0.11,0.24,0.13,0.31
AC009145.1,0.78,0.5,0.46,0.95,0.84,0.0,0.93,0.38
AC008870.1,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.02
AC116348.1,0.26,1.32,0.91,0.0,0.27,1.45,0.93,0.86
MYL12BP1,0.0,0.36,0.0,0.0,0.0,0.63,0.0,0.8
AC011773.4,0.3,0.0,0.0,0.05,0.0,0.0,0.0,0.0
AC002310.3,0.15,0.0,0.09,0.0,0.0,0.0,0.0,0.07
AC009148.1,0.08,0.15,0.11,0.09,0.16,0.05,0.15,0.14
AC126696.3,0.91,1.28,0.27,0.74,0.25,0.26,0.0,0.0
AC010336.2,0.5,0.21,0.36,0.24,0.05,0.0,0.0,0.39
AL590787.1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.03
AC004381.1,0.0,0.84,0.0,0.52,0.0,0.0,0.0,0.31
AC009145.2,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0
AC034229.2,0.0,0.05,0.0,0.09,0.0,0.0,0.0,0.0
AC009093.2,0.28,0.49,0.57,0.61,0.82,0.37,0.24,0.6
BMS1P8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.06
AC109347.1,0.4,0.37,0.27,0.18,0.43,0.23,0.29,0.36
FAM157C,0.04,0.38,0.11,0.03,0.13,0.0,0.0,0.24
AL035071.2,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012184.2,7.41,3.55,4.26,3.46,4.15,0.0,1.77,2.59
AL499627.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
MT1L,0.88,2.56,2.35,1.42,0.48,1.5,1.05,1.49
AC023043.1,0.0,0.09,0.39,1.26,0.68,0.0,0.0,0.22
AC018557.2,0.22,0.0,0.05,0.13,0.0,0.0,0.0,0.19
AC132872.1,2.31,2.57,2.56,2.42,3.46,3.05,3.32,3.96
ERVK13-1,3.89,3.75,3.43,2.57,3.12,2.72,3.67,4.12
AC127459.1,2.8,3.51,2.82,3.88,4.87,5.23,4.79,4.79
AC133550.2,12.1,0.0,10.15,1.74,11.0,0.44,11.62,13.52
BNIP3P5,0.0,0.0,0.0,0.0,0.69,0.65,0.0,0.09
AC069224.1,0.22,0.39,0.15,0.37,0.09,0.23,0.15,0.15
EIF5A2P1,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0
AC011374.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
AP000223.1,0.46,0.74,0.82,1.32,0.0,0.78,0.83,0.67
AC027702.1,0.77,0.92,0.99,0.53,0.86,0.76,0.39,0.42
STAM-AS1,0.22,0.12,0.18,0.16,0.25,0.26,0.44,0.23
AC012531.1,0.0,0.03,0.0,0.02,0.0,0.06,0.0,0.0
HMGN2P40,0.5,0.32,0.0,0.0,0.54,0.0,0.59,0.48
AC024270.3,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
Z98885.2,0.25,0.22,0.06,0.08,0.1,0.05,0.28,0.09
RPL23AP97,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.16
AC025917.1,0.0,0.23,0.12,0.3,0.0,0.0,0.0,0.09
AC068870.1,0.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0
AC026471.2,0.17,0.11,0.0,0.14,0.0,0.0,0.0,0.16
AC142381.3,0.0,0.05,0.22,0.0,0.41,0.0,0.0,0.12
SNAI3-AS1,3.29,5.31,4.87,5.31,3.19,3.76,5.32,3.19
AC092718.3,2.42,1.97,2.23,2.0,2.97,1.29,2.33,1.47
HERC2P5,0.0,0.0,0.0,0.03,0.0,0.0,0.04,0.0
AL359715.2,0.07,0.12,0.12,0.06,0.14,0.11,0.04,0.03
AL031705.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
AC127537.1,0.14,0.0,0.08,0.0,0.0,0.15,0.0,0.07
AC020658.3,0.02,0.05,0.08,0.03,0.02,0.07,0.04,0.04
AF213884.3,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0
AC107871.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
AC113208.3,0.16,0.02,0.0,0.02,0.0,0.0,0.0,0.0
AC004158.1,0.0,0.01,0.02,0.0,0.03,0.18,0.07,0.02
AC093536.1,0.0,0.0,0.14,0.38,0.0,0.0,0.0,0.11
AL096870.2,1.06,1.33,1.02,0.97,0.96,0.81,0.78,1.18
AC100827.4,0.06,0.06,0.07,0.02,0.12,0.0,0.0,0.01
TCERG1P2,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP176,0.54,2.47,0.0,0.0,4.72,1.64,2.47,1.1
AC027104.1,0.0,0.72,0.38,0.66,0.17,0.36,0.19,0.54
AC008669.1,0.84,0.55,0.78,0.94,1.47,1.05,1.42,0.68
HNRNPA3P11,0.3,0.25,0.0,0.08,0.1,0.42,0.11,0.05
ANKRD20A1,0.32,0.25,0.04,0.0,0.09,0.05,0.0,0.17
AC026150.1,9.85,15.79,15.27,11.33,11.95,11.04,15.55,13.31
AL591848.2,0.17,0.06,0.11,0.12,0.05,0.02,0.03,0.08
LINC00543,0.04,0.13,0.07,0.07,0.12,0.0,0.23,0.0
AL118516.1,5.65,5.27,7.86,4.48,4.49,5.33,6.73,4.75
AC133552.1,0.02,0.01,0.0,0.07,0.02,0.04,0.02,0.01
AC009133.3,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.02
SLC7A5P1,1.8,2.07,1.46,2.43,0.53,0.28,2.39,0.96
AC009690.1,0.11,0.11,0.09,0.04,0.06,0.08,0.12,0.02
AC046158.1,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
AC139256.1,0.52,0.45,0.64,0.48,0.68,0.54,0.78,0.69
AC026471.3,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
AC009962.1,0.7,0.41,0.53,0.67,0.68,0.8,0.79,0.53
AC007823.1,0.1,0.06,0.12,0.04,0.0,0.05,0.23,0.12
AC007494.2,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
AC022968.1,5.01,7.29,7.48,6.61,7.43,5.75,13.01,7.97
AC092720.1,0.23,0.3,0.0,0.0,0.0,0.79,0.0,0.11
AC008870.2,0.6,0.44,0.1,0.43,0.26,0.19,0.1,0.37
CES1P2,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
AC012321.1,6.98,4.35,5.82,8.81,6.64,12.49,9.23,6.44
AC055855.1,0.0,0.0,0.34,0.47,0.31,0.0,0.0,0.14
AC021087.3,0.07,0.14,0.07,0.06,0.1,0.14,0.19,0.07
AC104758.2,0.05,0.03,0.13,0.04,0.0,0.11,0.0,0.13
AC061975.1,0.03,0.05,0.06,0.06,0.05,0.05,0.03,0.04
AC009065.4,3.05,1.56,1.67,3.03,1.54,2.04,0.29,1.98
ARHGAP23P1,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0
AC007225.1,0.0,0.0,0.0,0.03,0.04,0.04,0.0,0.02
AC026150.2,1.94,1.71,1.57,2.29,0.74,0.64,1.19,1.44
AC092338.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03
LINC02280,0.0,0.03,0.0,0.03,0.05,0.0,0.04,0.02
AC003102.1,2.56,2.24,2.1,2.57,1.89,1.99,2.12,2.43
AC145285.3,0.0,0.31,0.43,0.6,0.26,0.28,0.59,0.12
KRT8P50,0.0,0.0,0.06,0.09,0.06,0.0,0.0,0.03
SERTM2,0.0,0.02,0.03,0.04,0.0,0.0,0.0,0.04
Z84723.1,0.0,0.08,0.08,0.0,0.14,0.0,0.0,0.0
LINC01963,4.14,4.85,4.56,5.14,5.63,4.77,5.58,4.95
AC092803.1,0.24,0.25,0.18,0.23,0.24,0.08,0.04,0.11
AL163051.1,0.47,0.98,0.69,0.86,0.88,0.33,0.95,0.98
AP003096.1,0.57,0.0,0.32,0.0,0.3,0.64,0.0,0.39
AL135818.2,0.0,0.0,0.09,0.12,0.16,0.34,0.0,0.0
AC073657.1,0.0,0.0,0.0,0.23,0.0,0.0,1.64,0.0
PPIAP47,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
AC027279.1,0.05,0.03,0.06,0.04,0.08,0.1,0.13,0.07
HMGB3P32,0.69,0.15,0.27,0.19,0.0,0.51,0.0,0.44
AL135744.1,0.37,0.0,0.22,0.0,0.39,0.21,0.44,0.18
AC009055.2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.03
AC245033.1,0.04,0.31,0.21,0.23,0.13,0.05,0.16,0.06
AC055876.4,1.2,1.35,1.21,0.86,1.86,1.09,1.25,1.11
AC010542.3,2.52,3.77,2.12,2.16,1.54,1.64,0.98,2.01
FBXL19-AS1,2.42,2.94,2.5,2.98,2.8,2.51,2.67,2.61
AC109460.2,1.76,2.1,3.91,1.08,2.82,2.08,3.02,5.11
AL591848.3,0.26,0.21,0.24,0.25,0.41,0.43,0.32,0.15
AL049634.2,1.42,0.19,0.5,0.0,0.34,0.0,0.0,0.33
LINC01960,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
AC093510.2,0.21,0.2,0.12,0.17,0.11,0.0,0.12,0.05
AC106820.5,0.13,0.0,0.43,0.2,0.0,0.14,0.15,0.0
LINC01229,2.62,2.61,3.4,1.47,0.76,2.25,0.29,1.37
AL359258.2,0.0,0.18,0.07,0.0,0.11,0.34,0.41,0.0
AC009120.3,1.64,0.87,0.48,1.77,1.16,1.84,1.63,1.7
AC020978.3,0.0,0.44,0.0,0.28,0.0,0.39,0.41,0.0
AC105020.4,0.32,0.88,0.22,0.29,0.44,0.44,0.0,0.37
ARLNC1,0.0,0.02,0.06,0.05,0.0,0.0,0.0,0.0
ADPGK-AS1,0.82,0.39,0.47,0.24,0.64,0.37,0.27,0.33
AC106886.2,0.15,0.1,0.1,0.0,0.88,0.0,0.0,0.0
XKR7,0.01,0.04,0.04,0.0,0.0,0.01,0.03,0.01
AC009021.1,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.21
AC015818.2,0.12,0.0,0.07,0.09,0.05,0.0,0.0,0.08
AC009093.3,0.04,0.08,0.07,0.07,0.16,0.13,0.05,0.04
LINC00565,0.5,0.59,0.94,0.82,0.8,0.68,0.67,0.52
AC135050.3,0.0,0.23,0.43,0.58,0.77,0.82,0.43,0.0
AL158206.1,0.72,1.39,1.03,1.22,1.28,1.66,1.04,1.67
AC026464.4,12.73,12.59,10.7,12.25,8.44,9.68,7.19,8.74
CCPG1,61.88,50.92,57.81,60.05,44.89,57.45,55.73,40.56
AL158212.3,1.64,1.58,1.71,1.72,1.24,1.13,1.64,1.28
AC107398.3,0.0,0.01,0.01,0.0,0.03,0.0,0.04,0.02
AC100835.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
AL031985.3,1.76,1.65,1.4,1.68,1.87,2.23,1.37,1.66
LINC02193,0.11,0.65,0.83,0.94,0.36,0.35,1.3,0.26
LINC01311,0.99,1.56,1.15,0.91,1.49,0.81,0.63,1.03
AC009107.2,0.0,0.14,0.13,0.0,0.0,0.49,0.0,0.1
AC009119.2,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0
AC130456.5,0.65,0.0,0.0,0.0,0.61,0.0,0.0,0.35
LINC00622,0.05,0.13,0.03,0.2,0.0,0.0,0.0,0.05
CAPN10-DT,0.46,0.44,0.36,0.47,0.44,0.44,0.44,0.38
AL390195.2,0.26,0.3,0.3,0.36,0.4,0.23,0.33,0.31
AP006545.1,0.31,0.84,0.42,0.84,0.42,0.55,0.24,0.44
AC009093.4,0.23,0.44,0.27,0.0,0.24,0.0,0.0,0.22
AC100821.2,0.0,0.0,0.22,0.0,0.81,0.43,0.0,0.36
AP001486.2,0.58,0.42,0.43,0.71,0.7,0.72,0.65,0.55
AC119674.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
AC126407.1,0.68,0.43,0.0,0.0,0.56,0.0,0.54,0.45
AC090260.1,0.08,0.02,0.04,0.03,0.08,0.04,0.0,0.02
BX255925.1,0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.0
AC004847.1,27.11,31.04,28.63,29.73,20.41,20.26,20.4,17.91
AC244034.2,0.28,0.18,0.0,0.0,0.0,0.31,0.0,0.4
AC036103.1,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
AL008628.1,0.0,0.0,0.01,0.03,0.03,0.0,0.01,0.01
LINC01572,0.61,0.89,0.8,0.41,0.46,0.56,0.14,0.8
AL136982.4,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0
AC010132.4,0.0,0.07,0.03,0.15,0.06,0.12,0.14,0.03
AC105046.1,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0
AC079171.1,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
AC005730.2,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0
WFDC21P,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC019294.3,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0
SULT1A3,5.96,6.33,4.47,8.48,9.35,10.31,10.05,9.68
AC036108.2,0.0,0.03,0.0,0.0,0.0,0.09,0.05,0.0
AL450468.2,0.12,0.15,0.14,0.43,0.04,0.12,0.14,0.09
AC079416.2,0.15,0.19,0.06,0.08,0.0,0.0,0.11,0.19
AC092718.4,12.48,9.43,10.48,14.09,8.92,11.11,10.75,9.83
AC009139.2,13.96,5.5,8.93,9.96,9.22,15.25,6.77,13.31
LINC02256,6.04,4.01,5.68,3.0,0.98,2.7,2.52,2.81
AC109460.3,0.84,0.65,0.71,0.71,0.44,0.6,0.65,0.47
AL512274.1,0.07,0.05,0.04,0.06,0.0,0.0,0.0,0.0
AC124312.3,0.21,0.0,0.51,0.0,0.3,0.28,0.83,0.41
AL441883.1,0.64,0.53,0.01,0.0,0.3,0.16,1.1,0.18
AC084783.1,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
AC009053.2,0.03,0.15,0.13,0.13,0.06,0.1,0.1,0.06
RUNX2-AS1,0.0,0.0,0.03,0.0,0.05,0.0,0.0,0.05
ZNNT1,0.77,1.25,1.26,1.43,1.24,1.46,1.39,0.94
AC007066.2,1.18,1.01,0.76,1.29,0.36,0.98,1.15,1.16
AC073476.2,0.17,0.13,0.02,0.0,0.0,0.03,0.03,0.05
LINC00563,0.06,0.0,0.13,0.0,0.0,0.06,0.0,0.11
AP000766.1,0.53,0.32,0.43,0.55,0.39,0.55,0.69,0.54
AC234775.2,0.52,0.88,0.1,0.42,0.0,0.0,0.21,0.33
AC009034.1,0.29,1.97,0.97,1.37,3.72,2.56,3.1,0.88
AC012181.1,0.4,1.26,0.78,0.62,2.2,1.7,1.33,1.77
AL049555.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
AC092123.1,0.55,0.41,0.38,0.09,0.45,0.0,0.13,0.16
AC009065.5,0.61,0.13,0.12,0.33,0.0,0.0,0.0,0.2
AC135050.4,0.28,0.72,0.5,0.46,0.3,0.64,0.34,0.41
RBFADN,0.43,0.61,0.38,0.28,0.4,0.33,0.58,0.29
AC140504.1,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0
AL137802.2,0.08,0.0,0.0,0.0,0.31,0.25,0.09,0.22
AC023908.3,0.14,0.15,0.08,0.27,0.07,0.12,0.25,0.24
AC093525.4,2.07,1.32,0.81,1.67,1.84,1.94,0.41,0.5
AC092718.5,0.41,0.26,0.12,0.17,0.22,0.23,0.25,0.1
EPPK1,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0
AC112484.3,0.37,0.31,0.28,0.6,0.5,0.79,0.29,0.23
AC107027.3,0.95,1.18,1.28,1.5,1.15,1.16,1.33,1.23
AL592424.1,0.0,0.06,0.06,0.0,0.05,0.0,0.0,0.0
AC018845.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
SPINT1-AS1,0.33,0.44,0.19,0.0,0.37,0.2,0.21,0.16
AC093642.2,0.16,0.05,0.09,0.19,0.31,0.41,0.09,0.18
AC079322.1,0.0,0.05,0.04,0.06,0.15,0.0,0.09,0.21
Z95115.1,1.05,0.92,0.75,0.75,0.9,1.39,1.3,1.44
RNF126P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
AC136944.2,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
Z83847.1,0.05,0.14,0.09,0.09,0.05,0.06,0.06,0.0
AC004449.1,1.18,0.0,0.23,0.32,0.0,0.0,0.93,0.57
AL031717.1,0.23,0.29,0.66,0.37,0.24,0.25,0.54,0.43
AL365475.1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
AL031123.2,0.02,0.0,0.01,0.0,0.02,0.04,0.05,0.01
AL162231.4,0.06,0.0,0.15,0.06,0.11,0.1,0.03,0.09
AC007216.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
AC099524.1,0.58,0.99,0.57,0.73,0.13,0.27,0.83,0.15
AC090651.1,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0
AC103706.1,2.76,2.37,2.75,2.92,2.7,2.51,2.51,1.55
ZNF865,7.9,8.92,6.76,7.91,6.32,5.9,6.93,5.03
AC064805.1,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.01
AC092384.3,0.17,1.08,0.13,0.51,0.12,0.36,0.28,0.45
AC021483.2,0.0,0.17,0.0,0.11,0.28,0.0,0.0,0.06
LINC02133,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOP1,52.52,63.77,46.3,50.0,53.43,45.08,51.93,43.46
ANKRD26P1,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
AC009065.6,0.35,0.23,0.0,0.0,0.0,0.4,0.0,0.0
LINC02128,0.1,0.12,0.12,0.19,0.06,0.37,0.18,0.09
AL136038.3,0.16,0.0,0.0,0.06,0.16,0.08,0.0,0.0
AC022165.1,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
GOLGA8T,4.05,5.71,3.56,4.18,3.01,2.82,4.66,2.57
Z97055.2,0.11,0.21,0.44,0.27,0.27,0.0,0.25,0.13
AC137932.2,0.07,0.12,0.15,0.0,0.14,0.22,0.16,0.0
AC008870.3,0.32,0.23,0.0,0.38,0.68,0.0,0.0,0.17
AC112236.1,0.0,0.0,0.05,0.0,0.0,0.0,0.09,0.0
AC093278.2,0.09,0.07,0.03,0.14,0.14,0.06,0.0,0.04
AC012181.2,0.49,0.27,0.51,0.5,0.9,0.22,0.67,0.38
ULK4P1,1.05,0.81,0.0,0.86,0.37,0.24,1.25,0.68
ATP2C2-AS1,0.0,0.03,0.04,0.0,0.14,0.02,0.0,0.01
AC093525.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
AC007906.1,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0
AC126323.6,0.0,0.0,0.02,0.02,0.04,0.0,0.0,0.0
AC106779.1,0.0,0.09,0.0,0.0,0.29,0.0,0.16,0.07
AC002550.1,0.0,0.15,0.34,0.16,0.26,0.41,0.23,0.09
AC105275.2,0.0,0.0,0.09,0.12,0.0,0.0,0.0,0.0
LARP4P,0.03,0.04,0.04,0.03,0.03,0.0,0.11,0.03
AC055855.2,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
AC010168.2,0.3,0.22,0.27,0.28,0.48,0.33,0.5,0.27
LINC01355,0.84,0.58,1.09,1.25,1.16,1.67,1.57,1.07
AC016597.1,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
AC116348.2,0.87,0.42,0.25,0.35,0.46,0.49,0.26,0.52
AL353803.4,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0
AC005837.1,0.21,0.03,0.17,0.0,0.04,0.06,0.0,0.09
EIF4BP5,0.0,0.08,0.02,0.03,0.0,0.09,0.0,0.02
AC021016.1,0.76,1.03,0.96,1.19,0.86,1.39,1.56,0.79
AC010325.1,0.0,0.0,0.32,0.43,0.0,0.0,0.0,0.0
AC006538.1,0.59,0.74,0.88,0.65,0.69,0.62,0.73,0.46
AC116348.3,0.15,0.2,0.27,0.13,0.0,0.0,0.18,0.07
AC116913.1,0.25,0.58,0.34,0.5,0.38,0.32,0.57,0.39
PYCARD-AS1,2.1,2.62,1.62,2.83,2.37,0.97,2.4,2.31
AC010491.1,0.03,0.05,0.06,0.04,0.0,0.05,0.09,0.01
MANEA-DT,0.22,0.14,0.22,0.13,0.26,0.27,0.18,0.14
AC007533.1,0.0,0.14,0.0,0.0,0.11,0.0,0.26,0.05
PECAM1,41.06,36.66,35.6,36.58,30.33,30.05,34.04,26.72
VPS9D1-AS1,11.8,12.29,7.52,9.05,8.05,6.75,8.69,7.09
AC135983.4,0.29,0.0,0.0,0.0,0.0,0.26,0.0,0.14
PDCD6IPP2,57.42,41.06,52.12,47.45,48.36,47.26,47.41,41.08
AC027682.4,0.52,0.17,0.3,0.98,0.0,0.74,0.32,0.51
MAFTRR,0.26,0.15,0.09,0.44,0.04,0.04,0.09,0.0
AC007598.2,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.12
AC027682.5,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0
AL031710.1,0.0,0.0,0.19,0.0,0.35,0.0,0.0,0.0
AC138627.1,0.0,0.27,0.0,0.0,0.0,0.0,1.0,0.0
TEN1-CDK3,1.15,1.26,0.96,0.97,1.4,1.29,1.02,1.1
AC012645.3,5.05,4.05,2.18,4.7,3.99,7.73,3.5,3.44
AL022069.1,0.0,0.12,0.0,0.04,0.05,0.2,0.0,0.18
TMEM202-AS1,1.27,1.33,0.69,0.56,0.57,0.37,0.55,0.35
AL031600.2,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0
AL023803.1,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0
AC002347.1,0.0,0.31,0.14,0.0,0.52,0.0,0.0,0.0
AC021087.4,0.45,0.29,0.4,0.37,0.72,0.76,0.0,0.65
AL157394.1,0.07,0.04,0.0,0.0,0.07,0.0,0.0,0.0
AC124068.2,0.0,0.29,0.36,0.13,0.16,0.25,0.18,0.11
AC023830.1,0.05,0.06,0.06,0.21,0.0,0.0,0.0,0.02
AC103724.3,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
AC104964.2,0.06,0.03,0.05,0.04,0.04,0.06,0.08,0.01
LINC01003,2.41,2.45,2.27,2.7,2.32,1.67,2.36,1.94
TUBB8,0.06,0.23,0.16,0.07,0.17,0.38,0.06,0.03
AC002310.4,0.0,0.0,0.0,0.0,0.05,0.32,0.1,0.0
AC009690.2,0.42,0.59,0.48,0.35,0.51,0.37,0.52,0.37
UBE2MP1,0.71,1.37,0.56,1.16,1.25,0.53,0.57,0.91
AC099518.4,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0
AC096921.2,0.08,0.27,0.32,0.19,0.39,0.29,0.58,0.38
AC020978.4,0.0,0.16,0.45,0.0,0.0,0.0,0.0,0.0
AC092145.1,0.03,0.02,0.02,0.05,0.06,0.0,0.0,0.1
AC026471.4,1.08,0.46,1.49,1.46,0.77,0.0,0.43,0.87
AC009163.4,0.11,0.0,0.07,0.0,0.0,0.24,0.0,0.0
AC013391.3,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
AC055876.5,1.86,2.07,2.18,1.32,2.44,1.56,1.39,2.0
AC022167.4,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0
PAN3-AS1,13.61,11.57,12.74,14.19,13.04,13.77,13.06,11.7
AC135048.1,9.74,10.43,11.17,6.37,11.48,11.76,9.27,6.81
AC005674.1,0.31,0.46,0.48,0.37,0.35,0.53,0.38,0.18
AC233699.1,1.46,0.4,1.08,2.3,2.5,0.67,1.56,1.49
LINC01686,0.64,0.66,0.75,0.72,0.29,0.56,0.6,0.25
AL031714.1,2.02,2.06,1.37,1.11,1.78,1.62,1.73,1.34
AC092368.3,5.24,6.45,4.8,5.4,3.98,4.24,3.78,2.76
AC009097.4,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
LINC01976,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0
AC010542.4,0.0,0.17,0.06,0.04,0.09,0.05,0.05,0.08
ABCB10P3,0.0,0.04,0.0,0.0,0.07,0.0,0.0,0.02
AC012615.1,5.37,7.28,6.39,4.56,5.69,5.06,6.73,6.06
AC026464.5,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
CCNYL7,0.0,0.18,0.08,0.0,0.15,0.32,0.0,0.0
AC100774.1,0.0,0.0,0.03,0.16,0.0,0.05,0.0,0.05
AC009065.7,0.98,0.0,0.38,0.58,0.25,0.56,0.75,0.47
AL596244.1,0.38,0.28,0.24,0.18,0.16,0.28,0.16,0.25
AC005086.2,0.0,0.08,0.07,0.1,0.0,0.0,0.0,0.47
AC027279.2,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011978.2,0.57,0.57,0.58,0.74,0.64,1.05,0.53,0.62
AC135782.3,0.17,0.27,0.14,0.03,0.07,0.11,0.12,0.15
AC107954.1,0.0,0.0,0.17,0.0,0.0,0.16,0.17,0.0
AC109460.4,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0
AL137782.1,1.91,0.61,0.43,0.74,1.04,0.29,0.59,0.44
SMG1P7,4.75,4.29,4.79,5.39,5.93,6.56,7.94,4.92
